participant,expName,age,gender,run,block,trialLoop_thisRepN,effort,task,congruency,word,color,pressed_key,correct_key,keyWord_corr,keyWord_rt
18,Stroop_EXR_1st_color_1st,26,m,1,1,0,EXR,color,congruent,VERDE,green,3,3,1,0.751014099922031
18,Stroop_EXR_1st_color_1st,26,m,1,1,1,EXR,color,congruent,ROSSO,red,4,4,1,0.410069000092335
18,Stroop_EXR_1st_color_1st,26,m,1,1,2,EXR,color,incongruent,ROSSO,yellow,4,2,0,0.653174299979582
18,Stroop_EXR_1st_color_1st,26,m,1,1,3,EXR,color,incongruent,BLU,yellow,2,2,1,0.769228099961765
18,Stroop_EXR_1st_color_1st,26,m,1,1,4,EXR,color,incongruent,BLU,green,3,3,1,0.823214399977587
18,Stroop_EXR_1st_color_1st,26,m,1,1,5,EXR,color,incongruent,VERDE,blue,1,1,1,0.569571600062773
18,Stroop_EXR_1st_color_1st,26,m,1,1,6,EXR,color,congruent,ROSSO,red,4,4,1,0.479705800069496
18,Stroop_EXR_1st_color_1st,26,m,1,1,7,EXR,color,incongruent,BLU,yellow,2,2,1,0.445607300032862
18,Stroop_EXR_1st_color_1st,26,m,1,1,8,EXR,color,congruent,BLU,blue,1,1,1,0.666381599963643
18,Stroop_EXR_1st_color_1st,26,m,1,1,9,EXR,color,incongruent,BLU,red,4,4,1,0.96323430002667
18,Stroop_EXR_1st_color_1st,26,m,1,1,10,EXR,color,incongruent,GIALLO,red,4,4,1,0.368968200054951
18,Stroop_EXR_1st_color_1st,26,m,1,1,11,EXR,color,congruent,GIALLO,yellow,2,2,1,0.834114800090902
18,Stroop_EXR_1st_color_1st,26,m,1,1,12,EXR,color,incongruent,ROSSO,green,3,3,1,0.656713800039142
18,Stroop_EXR_1st_color_1st,26,m,1,1,13,EXR,color,congruent,BLU,blue,1,1,1,0.490702199982479
18,Stroop_EXR_1st_color_1st,26,m,1,1,14,EXR,color,incongruent,ROSSO,yellow,2,2,1,0.627836999949068
18,Stroop_EXR_1st_color_1st,26,m,1,1,15,EXR,color,congruent,GIALLO,yellow,2,2,1,0.475700700073503
18,Stroop_EXR_1st_color_1st,26,m,1,1,16,EXR,color,incongruent,BLU,green,3,3,1,0.357271300046705
18,Stroop_EXR_1st_color_1st,26,m,1,1,17,EXR,color,congruent,VERDE,green,3,3,1,0.347473599947989
18,Stroop_EXR_1st_color_1st,26,m,1,1,18,EXR,color,congruent,VERDE,green,3,3,1,0.355951699893922
18,Stroop_EXR_1st_color_1st,26,m,1,1,19,EXR,color,congruent,VERDE,green,3,3,1,0.555208200006746
18,Stroop_EXR_1st_color_1st,26,m,1,1,20,EXR,color,incongruent,GIALLO,red,4,4,1,0.725568399997428
18,Stroop_EXR_1st_color_1st,26,m,1,1,21,EXR,color,incongruent,VERDE,blue,1,1,1,0.477979899966158
18,Stroop_EXR_1st_color_1st,26,m,1,1,22,EXR,color,congruent,VERDE,green,3,3,1,0.577711899997666
18,Stroop_EXR_1st_color_1st,26,m,1,1,23,EXR,color,congruent,BLU,blue,1,1,1,0.606464499956928
18,Stroop_EXR_1st_color_1st,26,m,1,2,0,EXR,color,incongruent,ROSSO,blue,1,1,1,0.607354500098154
18,Stroop_EXR_1st_color_1st,26,m,1,2,1,EXR,color,incongruent,GIALLO,red,4,4,1,0.865272199967876
18,Stroop_EXR_1st_color_1st,26,m,1,2,2,EXR,color,congruent,GIALLO,yellow,2,2,1,0.506236100103706
18,Stroop_EXR_1st_color_1st,26,m,1,2,3,EXR,color,congruent,GIALLO,yellow,2,2,1,0.387877100030892
18,Stroop_EXR_1st_color_1st,26,m,1,2,4,EXR,color,incongruent,GIALLO,blue,1,1,1,0.478620199952275
18,Stroop_EXR_1st_color_1st,26,m,1,2,5,EXR,color,incongruent,BLU,green,3,3,1,0.501650599995628
18,Stroop_EXR_1st_color_1st,26,m,1,2,6,EXR,color,congruent,BLU,blue,1,1,1,0.485497900051996
18,Stroop_EXR_1st_color_1st,26,m,1,2,7,EXR,color,incongruent,BLU,green,3,3,1,0.546656599966809
18,Stroop_EXR_1st_color_1st,26,m,1,2,8,EXR,color,congruent,BLU,blue,1,1,1,0.676119699957781
