sub,run,score,type
17,1,2.28472222222222,Sforzo applicato
17,1,8.75,Prestazioni raggiunte
17,1,4.97222222222222,Carico fisico del compito
17,1,4.98611111111111,Carico mentale del compito
17,1,0.236111111111111,Frustrazione percepita
17,1,6.86805555555556,Carico temporale del compito
17,2,0.0694444444444442,Frustrazione percepita
17,2,5.45833333333333,Sforzo applicato
17,2,5.06944444444444,Carico fisico del compito
17,2,2.08333333333333,Carico mentale del compito
17,2,5,Carico temporale del compito
17,2,9.54861111111111,Prestazioni raggiunte
17,3,1.25,Carico temporale del compito
17,3,4.55555555555556,Sforzo applicato
17,3,3.31944444444444,Carico fisico del compito
17,3,5.16666666666667,Frustrazione percepita
17,3,5.36805555555556,Carico mentale del compito
17,3,4.47916666666667,Prestazioni raggiunte
17,4,3.13194444444444,Sforzo applicato
17,4,8.32638888888889,Carico temporale del compito
17,4,7.5,Prestazioni raggiunte
17,4,4.70833333333333,Frustrazione percepita
17,4,5.22916666666667,Carico mentale del compito
17,4,0.423611111111111,Carico fisico del compito
