participant,expName,age,gender,run,block,trialLoop_thisRepN,effort,task,congruency,word,color,pressed_key,correct_key,keyWord_corr,keyWord_rt
17,Stroop_RLX_1st_color_1st,26,f,1,1,0,RLX,color,congruent,GIALLO,yellow,2,2,1,1.00473440007772
17,Stroop_RLX_1st_color_1st,26,f,1,1,1,RLX,color,congruent,GIALLO,yellow,2,2,1,0.433910200023092
17,Stroop_RLX_1st_color_1st,26,f,1,1,2,RLX,color,congruent,VERDE,green,3,3,1,0.670358699979261
17,Stroop_RLX_1st_color_1st,26,f,1,1,3,RLX,color,incongruent,VERDE,yellow,2,2,1,0.879136100062169
17,Stroop_RLX_1st_color_1st,26,f,1,1,4,RLX,color,incongruent,VERDE,yellow,2,2,1,0.768753599957563
17,Stroop_RLX_1st_color_1st,26,f,1,1,5,RLX,color,congruent,GIALLO,yellow,2,2,1,0.402294200030155
17,Stroop_RLX_1st_color_1st,26,f,1,1,6,RLX,color,congruent,ROSSO,red,4,4,1,0.846732899895869
17,Stroop_RLX_1st_color_1st,26,f,1,1,7,RLX,color,incongruent,VERDE,yellow,2,2,1,0.843781600007787
17,Stroop_RLX_1st_color_1st,26,f,1,1,8,RLX,color,congruent,VERDE,green,3,3,1,0.754863300011493
17,Stroop_RLX_1st_color_1st,26,f,1,1,9,RLX,color,congruent,VERDE,green,3,3,1,0.461154400021769
17,Stroop_RLX_1st_color_1st,26,f,1,1,10,RLX,color,congruent,BLU,blue,1,1,1,0.90837650001049
17,Stroop_RLX_1st_color_1st,26,f,1,1,11,RLX,color,congruent,BLU,blue,1,1,1,0.600111400010064
17,Stroop_RLX_1st_color_1st,26,f,1,1,12,RLX,color,congruent,VERDE,green,3,3,1,0.795690199942328
17,Stroop_RLX_1st_color_1st,26,f,1,1,13,RLX,color,incongruent,GIALLO,green,3,3,1,0.460722099989653
17,Stroop_RLX_1st_color_1st,26,f,1,1,14,RLX,color,congruent,ROSSO,red,4,4,1,0.858924200059846
17,Stroop_RLX_1st_color_1st,26,f,1,1,15,RLX,color,incongruent,BLU,green,3,3,1,1.20097619993612
17,Stroop_RLX_1st_color_1st,26,f,1,1,16,RLX,color,incongruent,GIALLO,blue,1,1,1,2.01232300000265
17,Stroop_RLX_1st_color_1st,26,f,1,1,17,RLX,color,incongruent,BLU,green,3,3,1,0.723522600019351
17,Stroop_RLX_1st_color_1st,26,f,1,1,18,RLX,color,incongruent,BLU,yellow,2,2,1,0.967308100080118
17,Stroop_RLX_1st_color_1st,26,f,1,1,19,RLX,color,incongruent,BLU,red,4,4,1,0.880517699988559
17,Stroop_RLX_1st_color_1st,26,f,1,1,20,RLX,color,incongruent,VERDE,red,4,4,1,1.04201750003267
17,Stroop_RLX_1st_color_1st,26,f,1,1,21,RLX,color,congruent,ROSSO,red,4,4,1,0.652285700081848
17,Stroop_RLX_1st_color_1st,26,f,1,1,22,RLX,color,incongruent,ROSSO,yellow,2,2,1,1.16226030001417
17,Stroop_RLX_1st_color_1st,26,f,1,1,23,RLX,color,incongruent,BLU,green,3,3,1,0.689359000069089
17,Stroop_RLX_1st_color_1st,26,f,1,2,0,RLX,color,congruent,VERDE,green,3,3,1,2.38352769997437
17,Stroop_RLX_1st_color_1st,26,f,1,2,1,RLX,color,congruent,ROSSO,red,4,4,1,0.746836500009522
17,Stroop_RLX_1st_color_1st,26,f,1,2,2,RLX,color,incongruent,GIALLO,red,4,4,1,0.799159900052473
17,Stroop_RLX_1st_color_1st,26,f,1,2,3,RLX,color,congruent,BLU,blue,1,1,1,1.33019340003375
17,Stroop_RLX_1st_color_1st,26,f,1,2,4,RLX,color,incongruent,BLU,red,4,4,1,0.752766699995846
17,Stroop_RLX_1st_color_1st,26,f,1,2,5,RLX,color,incongruent,VERDE,yellow,2,2,1,0.679994500009343
17,Stroop_RLX_1st_color_1st,26,f,1,2,6,RLX,color,congruent,ROSSO,red,4,4,1,0.647708400036208
17,Stroop_RLX_1st_color_1st,26,f,1,2,7,RLX,color,incongruent,BLU,yellow,2,2,1,0.743122999905609
17,Stroop_RLX_1st_color_1st,26,f,1,2,8,RLX,color,congruent,VERDE,green,3,3,1,0.538268900010735
17,Stroop_RLX_1st_color_1st,26,f,1,2,9,RLX,color,congruent,BLU,blue,1,1,1,0.682064799941145
17,Stroop_RLX_1st_color_1st,26,f,1,2,10,RLX,color,congruent,BLU,blue,1,1,1,0.775389999966137
17,Stroop_RLX_1st_color_1st,26,f,1,2,11,RLX,color,congruent,BLU,blue,1,1,1,0.659822899964638
17,Stroop_RLX_1st_color_1st,26,f,1,2,12,RLX,color,incongruent,GIALLO,green,3,3,1,0.641387999989092
17,Stroop_RLX_1st_color_1st,26,f,1,2,13,RLX,color,congruent,ROSSO,red,4,4,1,0.560718100052327
17,Stroop_RLX_1st_color_1st,26,f,1,2,14,RLX,color,incongruent,BLU,green,3,3,1,0.678168299957179
17,Stroop_RLX_1st_color_1st,26,f,1,2,15,RLX,color,congruent,GIALLO,yellow,2,2,1,0.773065500077792
17,Stroop_RLX_1st_color_1st,26,f,1,2,16,RLX,color,incongruent,BLU,green,3,3,1,0.611577000003308
17,Stroop_RLX_1st_color_1st,26,f,1,2,17,RLX,color,incongruent,ROSSO,blue,1,1,1,0.717366199940443
17,Stroop_RLX_1st_color_1st,26,f,1,2,18,RLX,color,incongruent,ROSSO,yellow,2,2,1,0.646222700015642
17,Stroop_RLX_1st_color_1st,26,f,1,2,19,RLX,color,incongruent,GIALLO,red,4,4,1,0.724210100015625
17,Stroop_RLX_1st_color_1st,26,f,1,2,20,RLX,color,incongruent,ROSSO,green,3,3,1,0.682586400071159
17,Stroop_RLX_1st_color_1st,26,f,1,2,21,RLX,color,incongruent,GIALLO,green,3,3,1,0.486184700042941
17,Stroop_RLX_1st_color_1st,26,f,1,2,22,RLX,color,congruent,BLU,blue,1,1,1,0.58243529999163
17,Stroop_RLX_1st_color_1st,26,f,1,2,23,RLX,color,congruent,GIALLO,yellow,2,2,1,0.691582300001755
17,Stroop_RLX_1st_color_1st,26,f,1,3,0,RLX,word,incongruent,VERDE,blue,3,3,1,0.702187800081447
17,Stroop_RLX_1st_color_1st,26,f,1,3,1,RLX,word,congruent,VERDE,green,3,3,1,0.471138900029473
17,Stroop_RLX_1st_color_1st,26,f,1,3,2,RLX,word,congruent,GIALLO,yellow,2,2,1,0.698815600015223
17,Stroop_RLX_1st_color_1st,26,f,1,3,3,RLX,word,congruent,BLU,blue,1,1,1,0.785911099985242
17,Stroop_RLX_1st_color_1st,26,f,1,3,4,RLX,word,congruent,BLU,blue,1,1,1,0.651681400020607
17,Stroop_RLX_1st_color_1st,26,f,1,3,5,RLX,word,incongruent,VERDE,yellow,3,3,1,0.745073300087824
