participant,expName,age,gender,run,block,trialLoop_thisRepN,effort,task,congruency,word,color,pressed_key,correct_key,keyWord_corr,keyWord_rt
20,Stroop_EXR_1st_word_1st,30,f,1,1,0,EXR,word,congruent,VERDE,green,3,3,1,0.675816499977373
20,Stroop_EXR_1st_word_1st,30,f,1,1,1,EXR,word,incongruent,VERDE,yellow,3,3,1,0.475015699979849
20,Stroop_EXR_1st_word_1st,30,f,1,1,2,EXR,word,incongruent,BLU,yellow,1,1,1,0.474449100089259
20,Stroop_EXR_1st_word_1st,30,f,1,1,3,EXR,word,incongruent,BLU,red,1,1,1,0.339482699986547
20,Stroop_EXR_1st_word_1st,30,f,1,1,4,EXR,word,incongruent,ROSSO,yellow,4,4,1,0.579549599904567
20,Stroop_EXR_1st_word_1st,30,f,1,1,5,EXR,word,congruent,BLU,blue,1,1,1,0.468303699977696
20,Stroop_EXR_1st_word_1st,30,f,1,1,6,EXR,word,congruent,ROSSO,red,4,4,1,0.540950200054795
20,Stroop_EXR_1st_word_1st,30,f,1,1,7,EXR,word,incongruent,VERDE,yellow,3,3,1,0.610209299949929
20,Stroop_EXR_1st_word_1st,30,f,1,1,8,EXR,word,congruent,BLU,blue,1,1,1,0.531068000011146
20,Stroop_EXR_1st_word_1st,30,f,1,1,9,EXR,word,incongruent,GIALLO,green,3,2,0,0.710693500004709
20,Stroop_EXR_1st_word_1st,30,f,1,1,10,EXR,word,congruent,BLU,blue,1,1,1,0.621084099984728
20,Stroop_EXR_1st_word_1st,30,f,1,1,11,EXR,word,incongruent,BLU,yellow,1,1,1,0.565550699946471
20,Stroop_EXR_1st_word_1st,30,f,1,1,12,EXR,word,incongruent,BLU,red,1,1,1,0.503097499953583
20,Stroop_EXR_1st_word_1st,30,f,1,1,13,EXR,word,congruent,GIALLO,yellow,2,2,1,0.815913100028411
20,Stroop_EXR_1st_word_1st,30,f,1,1,14,EXR,word,congruent,BLU,blue,1,1,1,0.480129500036128
20,Stroop_EXR_1st_word_1st,30,f,1,1,15,EXR,word,congruent,BLU,blue,1,1,1,0.387631500023417
20,Stroop_EXR_1st_word_1st,30,f,1,1,16,EXR,word,congruent,GIALLO,yellow,2,2,1,0.644217799999751
20,Stroop_EXR_1st_word_1st,30,f,1,1,17,EXR,word,incongruent,BLU,yellow,1,1,1,0.574179099989124
20,Stroop_EXR_1st_word_1st,30,f,1,1,18,EXR,word,congruent,ROSSO,red,4,4,1,0.670595400035381
20,Stroop_EXR_1st_word_1st,30,f,1,1,19,EXR,word,incongruent,BLU,red,1,1,1,0.5653350999346
20,Stroop_EXR_1st_word_1st,30,f,1,1,20,EXR,word,incongruent,VERDE,blue,3,3,1,0.788123700069264
20,Stroop_EXR_1st_word_1st,30,f,1,1,21,EXR,word,incongruent,GIALLO,red,2,2,1,0.672483599977568
20,Stroop_EXR_1st_word_1st,30,f,1,1,22,EXR,word,congruent,ROSSO,red,4,4,1,0.62174930004403
20,Stroop_EXR_1st_word_1st,30,f,1,1,23,EXR,word,congruent,BLU,blue,1,1,1,0.522230200003833
20,Stroop_EXR_1st_word_1st,30,f,1,2,0,EXR,word,congruent,VERDE,green,3,3,1,0.530581400031224
20,Stroop_EXR_1st_word_1st,30,f,1,2,1,EXR,word,incongruent,GIALLO,red,2,2,1,0.614294200087897
20,Stroop_EXR_1st_word_1st,30,f,1,2,2,EXR,word,incongruent,BLU,red,1,1,1,0.510862199938856
20,Stroop_EXR_1st_word_1st,30,f,1,2,3,EXR,word,congruent,ROSSO,red,4,4,1,0.474677399965003
20,Stroop_EXR_1st_word_1st,30,f,1,2,4,EXR,word,congruent,ROSSO,red,4,4,1,0.437051299959421
20,Stroop_EXR_1st_word_1st,30,f,1,2,5,EXR,word,congruent,ROSSO,red,4,4,1,0.49320769996848
20,Stroop_EXR_1st_word_1st,30,f,1,2,6,EXR,word,congruent,BLU,blue,1,1,1,0.473808199982159
20,Stroop_EXR_1st_word_1st,30,f,1,2,7,EXR,word,incongruent,ROSSO,blue,4,4,1,0.585082300007343
20,Stroop_EXR_1st_word_1st,30,f,1,2,8,EXR,word,congruent,VERDE,green,3,3,1,0.521494899992831
20,Stroop_EXR_1st_word_1st,30,f,1,2,9,EXR,word,congruent,ROSSO,red,4,4,1,0.469562700018287
20,Stroop_EXR_1st_word_1st,30,f,1,2,10,EXR,word,incongruent,ROSSO,yellow,4,4,1,0.723617300041951
20,Stroop_EXR_1st_word_1st,30,f,1,2,11,EXR,word,incongruent,ROSSO,green,4,4,1,0.539483200060204
20,Stroop_EXR_1st_word_1st,30,f,1,2,12,EXR,word,congruent,GIALLO,yellow,2,2,1,0.700911699910648
20,Stroop_EXR_1st_word_1st,30,f,1,2,13,EXR,word,congruent,BLU,blue,1,1,1,0.455656499951147
20,Stroop_EXR_1st_word_1st,30,f,1,2,14,EXR,word,incongruent,VERDE,blue,3,3,1,0.598371800035238
