sub,run,score,type
20,1,7.47916666666667,Sforzo applicato
20,1,6.20833333333333,Frustrazione percepita
20,1,7.50694444444444,Carico mentale del compito
20,1,5.00694444444444,Prestazioni raggiunte
20,1,0.00694444444444442,Carico fisico del compito
20,1,6.05555555555556,Carico temporale del compito
20,2,8.26388888888889,Frustrazione percepita
20,2,5.02083333333333,Carico temporale del compito
20,2,0,Carico fisico del compito
20,2,5.48611111111111,Carico mentale del compito
20,2,4.59027777777778,Prestazioni raggiunte
20,2,5.90972222222222,Sforzo applicato
20,3,2.02777777777778,Prestazioni raggiunte
20,3,5.13888888888889,Carico temporale del compito
20,3,8.36805555555556,Frustrazione percepita
20,3,6.625,Carico mentale del compito
20,3,0.0416666666666665,Carico fisico del compito
20,3,7.83333333333333,Sforzo applicato
20,4,4.80555555555556,Carico mentale del compito
20,4,0,Carico fisico del compito
20,4,5.43055555555556,Frustrazione percepita
20,4,5.00694444444444,Prestazioni raggiunte
20,4,4.8125,Carico temporale del compito
20,4,5.77777777777778,Sforzo applicato
