sub,run,score,type
15,1,8.46527777777778,Prestazioni raggiunte
15,1,1.71527777777778,Carico fisico del compito
15,1,9.5,Sforzo applicato
15,1,4.98611111111111,Carico temporale del compito
15,1,2.0625,Frustrazione percepita
15,1,8.5,Carico mentale del compito
15,2,7.45138888888889,Carico mentale del compito
15,2,1.375,Carico fisico del compito
15,2,7.70833333333333,Sforzo applicato
15,2,5.01388888888889,Carico temporale del compito
15,2,1.8125,Frustrazione percepita
15,2,8.56944444444444,Prestazioni raggiunte
15,3,8.86805555555556,Carico mentale del compito
15,3,4.99305555555556,Carico temporale del compito
15,3,8.59722222222222,Prestazioni raggiunte
15,3,8.93055555555556,Sforzo applicato
15,3,1.76388888888889,Carico fisico del compito
15,3,1.77083333333333,Frustrazione percepita
15,4,6.36805555555556,Carico mentale del compito
15,4,1.35416666666667,Carico fisico del compito
15,4,8.44444444444445,Prestazioni raggiunte
15,4,7.23611111111111,Sforzo applicato
15,4,1.54166666666667,Frustrazione percepita
15,4,5.01388888888889,Carico temporale del compito
