participant,expName,age,gender,run,block,trialLoop_thisRepN,effort,task,congruency,word,color,pressed_key,correct_key,keyWord_corr,keyWord_rt
14,Stroop_EXR_1st_word_1st,27,f,1,1,0,EXR,word,incongruent,ROSSO,blue,4,4,1,0.729418100090697
14,Stroop_EXR_1st_word_1st,27,f,1,1,1,EXR,word,congruent,ROSSO,red,4,4,1,0.462110699969344
14,Stroop_EXR_1st_word_1st,27,f,1,1,2,EXR,word,incongruent,BLU,green,1,1,1,0.713182199979201
14,Stroop_EXR_1st_word_1st,27,f,1,1,3,EXR,word,congruent,GIALLO,yellow,2,2,1,0.547159099951386
14,Stroop_EXR_1st_word_1st,27,f,1,1,4,EXR,word,congruent,VERDE,green,3,3,1,0.495922899921425
14,Stroop_EXR_1st_word_1st,27,f,1,1,5,EXR,word,incongruent,ROSSO,blue,4,4,1,0.482935200096108
14,Stroop_EXR_1st_word_1st,27,f,1,1,6,EXR,word,congruent,ROSSO,red,4,4,1,0.459156900062226
14,Stroop_EXR_1st_word_1st,27,f,1,1,7,EXR,word,incongruent,ROSSO,green,4,4,1,0.440202599973418
14,Stroop_EXR_1st_word_1st,27,f,1,1,8,EXR,word,congruent,ROSSO,red,4,4,1,0.432039499981329
14,Stroop_EXR_1st_word_1st,27,f,1,1,9,EXR,word,incongruent,ROSSO,yellow,4,4,1,0.418444199953228
14,Stroop_EXR_1st_word_1st,27,f,1,1,10,EXR,word,congruent,GIALLO,yellow,2,2,1,0.523900400032289
14,Stroop_EXR_1st_word_1st,27,f,1,1,11,EXR,word,incongruent,VERDE,yellow,3,3,1,0.445666800020263
14,Stroop_EXR_1st_word_1st,27,f,1,1,12,EXR,word,incongruent,VERDE,blue,3,3,1,0.474914300022647
14,Stroop_EXR_1st_word_1st,27,f,1,1,13,EXR,word,congruent,ROSSO,red,4,4,1,0.429390900069848
14,Stroop_EXR_1st_word_1st,27,f,1,1,14,EXR,word,congruent,VERDE,green,3,3,1,0.393167200032622
14,Stroop_EXR_1st_word_1st,27,f,1,1,15,EXR,word,congruent,GIALLO,yellow,2,2,1,0.530992100015283
14,Stroop_EXR_1st_word_1st,27,f,1,1,16,EXR,word,congruent,VERDE,green,3,3,1,0.502384299994446
14,Stroop_EXR_1st_word_1st,27,f,1,1,17,EXR,word,incongruent,GIALLO,red,2,2,1,0.673482500016689
14,Stroop_EXR_1st_word_1st,27,f,1,1,18,EXR,word,incongruent,BLU,green,1,1,1,0.404729199944995
