sub,run,score,type
14,1,9.22916666666667,Sforzo applicato
14,1,0.527777777777778,Carico fisico del compito
14,1,5.25,Prestazioni raggiunte
14,1,7.00694444444444,Frustrazione percepita
14,1,5.76388888888889,Carico temporale del compito
14,1,9.22222222222222,Carico mentale del compito
14,2,4.55555555555556,Sforzo applicato
14,2,4.02777777777778,Frustrazione percepita
14,2,4.31944444444444,Carico mentale del compito
14,2,5.27777777777778,Prestazioni raggiunte
14,2,0.0972222222222224,Carico fisico del compito
14,2,4.75,Carico temporale del compito
14,3,1.89583333333333,Frustrazione percepita
14,3,9.50694444444444,Prestazioni raggiunte
14,3,1.06944444444444,Carico fisico del compito
14,3,5.34027777777778,Carico temporale del compito
14,3,7.30555555555556,Carico mentale del compito
14,3,9.59027777777778,Sforzo applicato
14,4,4.13888888888889,Carico mentale del compito
14,4,9.8125,Prestazioni raggiunte
14,4,2.71527777777778,Frustrazione percepita
14,4,6.44444444444444,Sforzo applicato
14,4,4.97916666666667,Carico temporale del compito
14,4,0.333333333333333,Carico fisico del compito
