participant,expName,age,gender,run,block,trialLoop_thisRepN,effort,task,congruency,word,color,pressed_key,correct_key,keyWord_corr,keyWord_rt
11,Stroop_RLX_1st_word_1st,27,m,1,1,0,RLX,word,incongruent,ROSSO,blue,4,4,1,1.01837929995963
11,Stroop_RLX_1st_word_1st,27,m,1,1,1,RLX,word,incongruent,ROSSO,blue,4,4,1,0.686213900044095
11,Stroop_RLX_1st_word_1st,27,m,1,1,2,RLX,word,congruent,VERDE,green,3,3,1,0.673568000027444
11,Stroop_RLX_1st_word_1st,27,m,1,1,3,RLX,word,congruent,GIALLO,yellow,2,2,1,0.71481610002229
11,Stroop_RLX_1st_word_1st,27,m,1,1,4,RLX,word,congruent,GIALLO,yellow,2,2,1,0.79254639998544
11,Stroop_RLX_1st_word_1st,27,m,1,1,5,RLX,word,congruent,BLU,blue,1,1,1,0.770924499956891
11,Stroop_RLX_1st_word_1st,27,m,1,1,6,RLX,word,congruent,BLU,blue,1,1,1,1.30046639998909
11,Stroop_RLX_1st_word_1st,27,m,1,1,7,RLX,word,incongruent,BLU,green,1,1,1,0.916522999992594
11,Stroop_RLX_1st_word_1st,27,m,1,1,8,RLX,word,incongruent,BLU,yellow,1,1,1,0.785155299992766
11,Stroop_RLX_1st_word_1st,27,m,1,1,9,RLX,word,congruent,ROSSO,red,4,4,1,0.80815120000625
11,Stroop_RLX_1st_word_1st,27,m,1,1,10,RLX,word,incongruent,ROSSO,green,4,4,1,0.649377099995036
11,Stroop_RLX_1st_word_1st,27,m,1,1,11,RLX,word,congruent,VERDE,green,3,3,1,0.811345599999186
11,Stroop_RLX_1st_word_1st,27,m,1,1,12,RLX,word,incongruent,GIALLO,green,2,2,1,1.29562990000704
11,Stroop_RLX_1st_word_1st,27,m,1,1,13,RLX,word,congruent,BLU,blue,1,1,1,0.636018500023056
11,Stroop_RLX_1st_word_1st,27,m,1,1,14,RLX,word,incongruent,ROSSO,yellow,4,4,1,0.880137699947227
11,Stroop_RLX_1st_word_1st,27,m,1,1,15,RLX,word,incongruent,BLU,green,1,1,1,0.590314999979455
11,Stroop_RLX_1st_word_1st,27,m,1,1,16,RLX,word,incongruent,ROSSO,yellow,4,4,1,0.902136799995787
11,Stroop_RLX_1st_word_1st,27,m,1,1,17,RLX,word,incongruent,VERDE,blue,3,3,1,0.934760599979199
11,Stroop_RLX_1st_word_1st,27,m,1,1,18,RLX,word,congruent,ROSSO,red,4,4,1,0.984213699994143
11,Stroop_RLX_1st_word_1st,27,m,1,1,19,RLX,word,congruent,ROSSO,red,4,4,1,0.828894899983425
11,Stroop_RLX_1st_word_1st,27,m,1,1,20,RLX,word,incongruent,BLU,red,1,1,1,0.801061499980278
11,Stroop_RLX_1st_word_1st,27,m,1,1,21,RLX,word,incongruent,GIALLO,red,2,2,1,1.22077269997681
11,Stroop_RLX_1st_word_1st,27,m,1,1,22,RLX,word,congruent,VERDE,green,3,3,1,0.716617099998984
11,Stroop_RLX_1st_word_1st,27,m,1,1,23,RLX,word,congruent,GIALLO,yellow,2,2,1,0.762105299974792
11,Stroop_RLX_1st_word_1st,27,m,1,2,0,RLX,word,congruent,ROSSO,red,4,4,1,1.26582209998742
11,Stroop_RLX_1st_word_1st,27,m,1,2,1,RLX,word,incongruent,VERDE,yellow,3,3,1,1.19916670001112
11,Stroop_RLX_1st_word_1st,27,m,1,2,2,RLX,word,incongruent,VERDE,yellow,3,3,1,1.09908620000351
11,Stroop_RLX_1st_word_1st,27,m,1,2,3,RLX,word,congruent,GIALLO,yellow,2,2,1,1.26332779997028
11,Stroop_RLX_1st_word_1st,27,m,1,2,4,RLX,word,congruent,ROSSO,red,4,4,1,1.47898640000494
