participant,expName,age,gender,run,block,trialLoop_thisRepN,effort,task,congruency,word,color,pressed_key,correct_key,keyWord_corr,keyWord_rt
6,Stroop_RLX_1st_color_1st,43,f,1,1,0,RLX,color,congruent,VERDE,green,3,3,1,1.15068149997387
6,Stroop_RLX_1st_color_1st,43,f,1,1,1,RLX,color,incongruent,GIALLO,green,3,3,1,1.42435390001629
6,Stroop_RLX_1st_color_1st,43,f,1,1,2,RLX,color,incongruent,VERDE,blue,1,1,1,0.802326400007587
6,Stroop_RLX_1st_color_1st,43,f,1,1,3,RLX,color,incongruent,ROSSO,yellow,2,2,1,0.698203300009482
6,Stroop_RLX_1st_color_1st,43,f,1,1,4,RLX,color,congruent,VERDE,green,3,3,1,1.41883030004101
6,Stroop_RLX_1st_color_1st,43,f,1,1,5,RLX,color,incongruent,ROSSO,blue,1,1,1,0.883206800033804
6,Stroop_RLX_1st_color_1st,43,f,1,1,6,RLX,color,congruent,ROSSO,red,4,4,1,0.658160799997859
6,Stroop_RLX_1st_color_1st,43,f,1,1,7,RLX,color,congruent,VERDE,green,3,3,1,1.55552380002337
6,Stroop_RLX_1st_color_1st,43,f,1,1,8,RLX,color,incongruent,ROSSO,blue,1,1,1,0.86537730001146
6,Stroop_RLX_1st_color_1st,43,f,1,1,9,RLX,color,congruent,BLU,blue,1,1,1,0.666946100012865
6,Stroop_RLX_1st_color_1st,43,f,1,1,10,RLX,color,congruent,VERDE,green,3,3,1,0.710235000005923
6,Stroop_RLX_1st_color_1st,43,f,1,1,11,RLX,color,congruent,VERDE,green,3,3,1,0.628025100042578
6,Stroop_RLX_1st_color_1st,43,f,1,1,12,RLX,color,congruent,VERDE,green,3,3,1,0.551455100008752
6,Stroop_RLX_1st_color_1st,43,f,1,1,13,RLX,color,incongruent,GIALLO,red,4,4,1,0.723242100037169
6,Stroop_RLX_1st_color_1st,43,f,1,1,14,RLX,color,congruent,ROSSO,red,4,4,1,0.48153769999044
6,Stroop_RLX_1st_color_1st,43,f,1,1,15,RLX,color,incongruent,ROSSO,green,3,3,1,1.01964669994777
6,Stroop_RLX_1st_color_1st,43,f,1,1,16,RLX,color,congruent,VERDE,green,3,3,1,0.670225800015032
6,Stroop_RLX_1st_color_1st,43,f,1,1,17,RLX,color,incongruent,VERDE,yellow,2,2,1,0.760102599975653
6,Stroop_RLX_1st_color_1st,43,f,1,1,18,RLX,color,congruent,GIALLO,yellow,2,2,1,0.624237700016238
