sub,run,score,type
6,1,7.92361111111111,Prestazioni raggiunte
6,1,8.54861111111111,Sforzo applicato
6,1,7.15972222222222,Carico fisico del compito
6,1,6.80555555555556,Frustrazione percepita
6,1,9.01388888888889,Carico mentale del compito
6,1,6.26388888888889,Carico temporale del compito
6,2,5.5625,Carico temporale del compito
6,2,9.1875,Carico fisico del compito
6,2,8.84722222222222,Carico mentale del compito
6,2,9.34722222222222,Sforzo applicato
6,2,5.27777777777778,Frustrazione percepita
6,2,8.86805555555556,Prestazioni raggiunte
6,3,4.9375,Frustrazione percepita
6,3,5.84722222222222,Carico fisico del compito
6,3,6.3125,Carico temporale del compito
6,3,8.59722222222222,Prestazioni raggiunte
6,3,6.45138888888889,Carico mentale del compito
6,3,6.25694444444444,Sforzo applicato
6,4,8.52083333333333,Carico mentale del compito
6,4,6.59722222222222,Frustrazione percepita
6,4,9.07638888888889,Sforzo applicato
6,4,7.16666666666667,Carico temporale del compito
6,4,8.52777777777778,Carico fisico del compito
6,4,7.84722222222222,Prestazioni raggiunte
