sub,run,score,type
3,1,2.57638888888889,Frustrazione percepita
3,1,1.31944444444444,Carico fisico del compito
3,1,9.43055555555556,Prestazioni raggiunte
3,1,9.97222222222222,Sforzo applicato
3,1,3.44444444444444,Carico temporale del compito
3,1,8.82638888888889,Carico mentale del compito
3,2,9.42361111111111,Prestazioni raggiunte
3,2,1.40277777777778,Frustrazione percepita
3,2,5.91666666666667,Sforzo applicato
3,2,7.3125,Carico mentale del compito
3,2,2.02777777777778,Carico temporale del compito
3,2,1.05555555555556,Carico fisico del compito
3,3,1.89583333333333,Frustrazione percepita
3,3,8.80555555555556,Prestazioni raggiunte
3,3,1.61805555555556,Carico fisico del compito
3,3,8.52777777777778,Sforzo applicato
3,3,2.05555555555556,Carico temporale del compito
3,3,9.04166666666667,Carico mentale del compito
3,4,4.625,Sforzo applicato
3,4,8.32638888888889,Prestazioni raggiunte
3,4,2.01388888888889,Carico temporale del compito
3,4,8.375,Carico mentale del compito
3,4,3.25694444444444,Carico fisico del compito
3,4,1.60416666666667,Frustrazione percepita
