participant,expName,age,gender,run,block,trialLoop_thisRepN,effort,task,congruency,word,color,pressed_key,correct_key,keyWord_corr,keyWord_rt
10,Stroop_EXR_1st_word_1st,25,m,1,1,0,EXR,word,incongruent,BLU,green,1,1,1,0.655975900008343
10,Stroop_EXR_1st_word_1st,25,m,1,1,1,EXR,word,congruent,VERDE,green,3,3,1,0.793622600031085
10,Stroop_EXR_1st_word_1st,25,m,1,1,2,EXR,word,incongruent,GIALLO,red,2,2,1,0.779268999991473
10,Stroop_EXR_1st_word_1st,25,m,1,1,3,EXR,word,incongruent,GIALLO,red,2,2,1,0.574768999998923
10,Stroop_EXR_1st_word_1st,25,m,1,1,4,EXR,word,congruent,VERDE,green,3,3,1,0.538740799995139
10,Stroop_EXR_1st_word_1st,25,m,1,1,5,EXR,word,incongruent,ROSSO,green,4,4,1,0.446109700016677
10,Stroop_EXR_1st_word_1st,25,m,1,1,6,EXR,word,incongruent,ROSSO,yellow,4,4,1,0.367431099992245
10,Stroop_EXR_1st_word_1st,25,m,1,1,7,EXR,word,incongruent,BLU,green,1,1,1,0.366148900007829
10,Stroop_EXR_1st_word_1st,25,m,1,1,8,EXR,word,congruent,ROSSO,red,4,4,1,0.821481099992525
10,Stroop_EXR_1st_word_1st,25,m,1,1,9,EXR,word,incongruent,BLU,yellow,1,1,1,0.518787900044117
10,Stroop_EXR_1st_word_1st,25,m,1,1,10,EXR,word,incongruent,GIALLO,red,2,2,1,0.579591199988499
10,Stroop_EXR_1st_word_1st,25,m,1,1,11,EXR,word,incongruent,BLU,red,1,1,1,0.595046899979934
10,Stroop_EXR_1st_word_1st,25,m,1,1,12,EXR,word,congruent,GIALLO,yellow,1,2,0,0.550212999980431
10,Stroop_EXR_1st_word_1st,25,m,1,1,13,EXR,word,congruent,ROSSO,red,4,4,1,0.724729699955788
10,Stroop_EXR_1st_word_1st,25,m,1,1,14,EXR,word,incongruent,ROSSO,green,4,4,1,0.647382399998605
10,Stroop_EXR_1st_word_1st,25,m,1,1,15,EXR,word,congruent,ROSSO,red,4,4,1,0.457150900037959
10,Stroop_EXR_1st_word_1st,25,m,1,1,16,EXR,word,congruent,GIALLO,yellow,2,2,1,0.591148600040469
10,Stroop_EXR_1st_word_1st,25,m,1,1,17,EXR,word,congruent,VERDE,green,3,3,1,0.433286399987992
10,Stroop_EXR_1st_word_1st,25,m,1,1,18,EXR,word,incongruent,BLU,yellow,1,1,1,0.601963599969167
10,Stroop_EXR_1st_word_1st,25,m,1,1,19,EXR,word,congruent,GIALLO,yellow,2,2,1,0.740535599994473
10,Stroop_EXR_1st_word_1st,25,m,1,1,20,EXR,word,incongruent,VERDE,red,3,3,1,1.27047069999389
10,Stroop_EXR_1st_word_1st,25,m,1,1,21,EXR,word,congruent,BLU,blue,1,1,1,0.596444999973755
10,Stroop_EXR_1st_word_1st,25,m,1,1,22,EXR,word,congruent,ROSSO,red,4,4,1,0.773994899995159
10,Stroop_EXR_1st_word_1st,25,m,1,1,23,EXR,word,congruent,BLU,blue,1,1,1,0.780359399970621
10,Stroop_EXR_1st_word_1st,25,m,1,2,0,EXR,word,incongruent,BLU,yellow,1,1,1,1.61663679999765
10,Stroop_EXR_1st_word_1st,25,m,1,2,1,EXR,word,congruent,ROSSO,red,4,4,1,0.960125199984759
10,Stroop_EXR_1st_word_1st,25,m,1,2,2,EXR,word,incongruent,ROSSO,green,4,4,1,0.543820399965625
10,Stroop_EXR_1st_word_1st,25,m,1,2,3,EXR,word,incongruent,VERDE,blue,3,3,1,1.14987449999899
10,Stroop_EXR_1st_word_1st,25,m,1,2,4,EXR,word,congruent,GIALLO,yellow,2,2,1,0.644301399996039
10,Stroop_EXR_1st_word_1st,25,m,1,2,5,EXR,word,incongruent,ROSSO,green,4,4,1,0.837850500014611
10,Stroop_EXR_1st_word_1st,25,m,1,2,6,EXR,word,congruent,ROSSO,red,4,4,1,0.444877200003248
10,Stroop_EXR_1st_word_1st,25,m,1,2,7,EXR,word,incongruent,ROSSO,green,4,4,1,0.416405300027691
10,Stroop_EXR_1st_word_1st,25,m,1,2,8,EXR,word,congruent,GIALLO,yellow,1,2,0,0.663452600012533
10,Stroop_EXR_1st_word_1st,25,m,1,2,9,EXR,word,incongruent,GIALLO,green,2,2,1,1.03102019999642
10,Stroop_EXR_1st_word_1st,25,m,1,2,10,EXR,word,congruent,ROSSO,red,4,4,1,0.735964399995282
10,Stroop_EXR_1st_word_1st,25,m,1,2,11,EXR,word,congruent,ROSSO,red,4,4,1,0.486505199980456
10,Stroop_EXR_1st_word_1st,25,m,1,2,12,EXR,word,incongruent,ROSSO,yellow,4,4,1,0.874873900029343
10,Stroop_EXR_1st_word_1st,25,m,1,2,13,EXR,word,congruent,GIALLO,yellow,1,2,0,0.806589899992105
10,Stroop_EXR_1st_word_1st,25,m,1,2,14,EXR,word,incongruent,VERDE,red,3,3,1,0.684415499970783
10,Stroop_EXR_1st_word_1st,25,m,1,2,15,EXR,word,incongruent,GIALLO,blue,2,2,1,2.62168969999766
10,Stroop_EXR_1st_word_1st,25,m,1,2,16,EXR,word,incongruent,GIALLO,green,2,2,1,0.632032800000161
10,Stroop_EXR_1st_word_1st,25,m,1,2,17,EXR,word,congruent,BLU,blue,1,1,1,0.50264399999287
10,Stroop_EXR_1st_word_1st,25,m,1,2,18,EXR,word,congruent,VERDE,green,3,3,1,0.824094699986745
10,Stroop_EXR_1st_word_1st,25,m,1,2,19,EXR,word,incongruent,VERDE,yellow,3,3,1,0.513077899988275
10,Stroop_EXR_1st_word_1st,25,m,1,2,20,EXR,word,congruent,GIALLO,yellow,2,2,1,1.43842810002388
10,Stroop_EXR_1st_word_1st,25,m,1,2,21,EXR,word,congruent,VERDE,green,3,3,1,0.644736299989745
10,Stroop_EXR_1st_word_1st,25,m,1,2,22,EXR,word,congruent,VERDE,green,3,3,1,0.525329199968837
10,Stroop_EXR_1st_word_1st,25,m,1,2,23,EXR,word,incongruent,BLU,yellow,1,1,1,0.904825899982825
10,Stroop_EXR_1st_word_1st,25,m,1,3,0,EXR,color,incongruent,VERDE,blue,1,1,1,1.88044690003153
10,Stroop_EXR_1st_word_1st,25,m,1,3,1,EXR,color,incongruent,GIALLO,green,3,3,1,1.0541640999727
10,Stroop_EXR_1st_word_1st,25,m,1,3,2,EXR,color,congruent,VERDE,green,3,3,1,0.772970399993937
10,Stroop_EXR_1st_word_1st,25,m,1,3,3,EXR,color,incongruent,BLU,yellow,1,2,0,0.543520600011107
10,Stroop_EXR_1st_word_1st,25,m,1,3,4,EXR,color,congruent,BLU,blue,1,1,1,0.445297600002959
10,Stroop_EXR_1st_word_1st,25,m,1,3,5,EXR,color,incongruent,BLU,red,4,4,1,0.655202599999029
10,Stroop_EXR_1st_word_1st,25,m,1,3,6,EXR,color,congruent,ROSSO,red,4,4,1,0.3970246000099
10,Stroop_EXR_1st_word_1st,25,m,1,3,7,EXR,color,incongruent,BLU,green,3,3,1,0.710865200031549
10,Stroop_EXR_1st_word_1st,25,m,1,3,8,EXR,color,incongruent,ROSSO,yellow,2,2,1,0.348818900005426
10,Stroop_EXR_1st_word_1st,25,m,1,3,9,EXR,color,incongruent,BLU,red,4,4,1,0.527214500005357
10,Stroop_EXR_1st_word_1st,25,m,1,3,10,EXR,color,congruent,VERDE,green,3,3,1,0.534320199978538
10,Stroop_EXR_1st_word_1st,25,m,1,3,11,EXR,color,congruent,VERDE,green,3,3,1,0.471966100041755
10,Stroop_EXR_1st_word_1st,25,m,1,3,12,EXR,color,congruent,VERDE,green,3,3,1,0.395783700048923
10,Stroop_EXR_1st_word_1st,25,m,1,3,13,EXR,color,congruent,BLU,blue,1,1,1,0.616578200017102
10,Stroop_EXR_1st_word_1st,25,m,1,3,14,EXR,color,congruent,GIALLO,yellow,2,2,1,0.344987499993294
10,Stroop_EXR_1st_word_1st,25,m,1,3,15,EXR,color,incongruent,VERDE,red,4,4,1,0.496483900002204
10,Stroop_EXR_1st_word_1st,25,m,1,3,16,EXR,color,congruent,BLU,blue,1,1,1,0.57985139999073
10,Stroop_EXR_1st_word_1st,25,m,1,3,17,EXR,color,incongruent,ROSSO,green,3,3,1,0.548516499984544
10,Stroop_EXR_1st_word_1st,25,m,1,3,18,EXR,color,congruent,GIALLO,yellow,2,2,1,0.705923600005917
10,Stroop_EXR_1st_word_1st,25,m,1,3,19,EXR,color,incongruent,VERDE,yellow,2,2,1,0.61810320004588
10,Stroop_EXR_1st_word_1st,25,m,1,3,20,EXR,color,congruent,ROSSO,red,4,4,1,0.650544099975377
10,Stroop_EXR_1st_word_1st,25,m,1,3,21,EXR,color,congruent,BLU,blue,1,1,1,0.750989399966784
10,Stroop_EXR_1st_word_1st,25,m,1,3,22,EXR,color,incongruent,BLU,yellow,2,2,1,0.5292031999561
10,Stroop_EXR_1st_word_1st,25,m,1,3,23,EXR,color,incongruent,BLU,red,4,4,1,0.567110599949956
10,Stroop_EXR_1st_word_1st,25,m,1,4,0,EXR,color,incongruent,GIALLO,red,4,4,1,1.19035809999332
10,Stroop_EXR_1st_word_1st,25,m,1,4,1,EXR,color,congruent,GIALLO,yellow,2,2,1,0.861600000003818
10,Stroop_EXR_1st_word_1st,25,m,1,4,2,EXR,color,congruent,BLU,blue,1,1,1,0.600816199963447
10,Stroop_EXR_1st_word_1st,25,m,1,4,3,EXR,color,incongruent,GIALLO,red,4,4,1,1.32123229996068
10,Stroop_EXR_1st_word_1st,25,m,1,4,4,EXR,color,congruent,ROSSO,red,4,4,1,0.427584799996112
10,Stroop_EXR_1st_word_1st,25,m,1,4,5,EXR,color,congruent,VERDE,green,3,3,1,0.328767800005153
10,Stroop_EXR_1st_word_1st,25,m,1,4,6,EXR,color,incongruent,ROSSO,yellow,2,2,1,0.914116700005252
10,Stroop_EXR_1st_word_1st,25,m,1,4,7,EXR,color,congruent,GIALLO,yellow,2,2,1,0.369648699997924
10,Stroop_EXR_1st_word_1st,25,m,1,4,8,EXR,color,incongruent,ROSSO,green,3,3,1,0.738185300026089
10,Stroop_EXR_1st_word_1st,25,m,1,4,9,EXR,color,congruent,VERDE,green,3,3,1,0.422431699989829
10,Stroop_EXR_1st_word_1st,25,m,1,4,10,EXR,color,incongruent,VERDE,red,4,4,1,0.452532400027849
10,Stroop_EXR_1st_word_1st,25,m,1,4,11,EXR,color,congruent,ROSSO,red,4,4,1,0.423264999990351
10,Stroop_EXR_1st_word_1st,25,m,1,4,12,EXR,color,congruent,BLU,blue,1,1,1,0.550109200004954
10,Stroop_EXR_1st_word_1st,25,m,1,4,13,EXR,color,congruent,BLU,blue,1,1,1,0.398612299992237
10,Stroop_EXR_1st_word_1st,25,m,1,4,14,EXR,color,incongruent,ROSSO,green,3,3,1,0.338791999965906
10,Stroop_EXR_1st_word_1st,25,m,1,4,15,EXR,color,incongruent,ROSSO,green,3,3,1,0.47170220001135
10,Stroop_EXR_1st_word_1st,25,m,1,4,16,EXR,color,incongruent,VERDE,red,4,4,1,0.708111899963114
10,Stroop_EXR_1st_word_1st,25,m,1,4,17,EXR,color,congruent,ROSSO,red,4,4,1,0.550923300033901
10,Stroop_EXR_1st_word_1st,25,m,1,4,18,EXR,color,congruent,ROSSO,red,4,4,1,0.364634900004603
10,Stroop_EXR_1st_word_1st,25,m,1,4,19,EXR,color,incongruent,VERDE,red,4,4,1,0.364389099995606
10,Stroop_EXR_1st_word_1st,25,m,1,4,20,EXR,color,incongruent,ROSSO,yellow,2,2,1,0.5793391999905
10,Stroop_EXR_1st_word_1st,25,m,1,4,21,EXR,color,congruent,ROSSO,red,4,4,1,0.441436599998269
10,Stroop_EXR_1st_word_1st,25,m,1,4,22,EXR,color,incongruent,BLU,green,3,3,1,0.489542199997231
10,Stroop_EXR_1st_word_1st,25,m,1,4,23,EXR,color,incongruent,ROSSO,blue,1,1,1,0.541404099960346
10,Stroop_EXR_1st_word_1st,25,m,2,1,0,RLX,word,congruent,GIALLO,yellow,2,2,1,1.17912159999833
10,Stroop_EXR_1st_word_1st,25,m,2,1,1,RLX,word,incongruent,ROSSO,yellow,4,4,1,0.602979699964635
10,Stroop_EXR_1st_word_1st,25,m,2,1,2,RLX,word,incongruent,VERDE,red,3,3,1,0.715666300035082
10,Stroop_EXR_1st_word_1st,25,m,2,1,3,RLX,word,congruent,GIALLO,yellow,2,2,1,0.794954900047742
10,Stroop_EXR_1st_word_1st,25,m,2,1,4,RLX,word,incongruent,VERDE,blue,4,3,0,0.626163800014183
10,Stroop_EXR_1st_word_1st,25,m,2,1,5,RLX,word,congruent,ROSSO,red,4,4,1,1.65567339997506
10,Stroop_EXR_1st_word_1st,25,m,2,1,6,RLX,word,incongruent,VERDE,yellow,3,3,1,0.504437399969902
10,Stroop_EXR_1st_word_1st,25,m,2,1,7,RLX,word,congruent,GIALLO,yellow,2,2,1,0.88774239999475
10,Stroop_EXR_1st_word_1st,25,m,2,1,8,RLX,word,incongruent,BLU,red,1,1,1,0.355314099986572
10,Stroop_EXR_1st_word_1st,25,m,2,1,9,RLX,word,congruent,VERDE,green,3,3,1,0.722403599997051
10,Stroop_EXR_1st_word_1st,25,m,2,1,10,RLX,word,congruent,BLU,blue,1,1,1,0.472880799963605
10,Stroop_EXR_1st_word_1st,25,m,2,1,11,RLX,word,incongruent,BLU,yellow,1,1,1,1.40857530001085
10,Stroop_EXR_1st_word_1st,25,m,2,1,12,RLX,word,congruent,GIALLO,yellow,2,2,1,0.905839500017464
10,Stroop_EXR_1st_word_1st,25,m,2,1,13,RLX,word,incongruent,GIALLO,red,2,2,1,0.471589099965058
10,Stroop_EXR_1st_word_1st,25,m,2,1,14,RLX,word,congruent,GIALLO,yellow,2,2,1,0.46489229996223
10,Stroop_EXR_1st_word_1st,25,m,2,1,15,RLX,word,congruent,VERDE,green,3,3,1,0.869388899998739
10,Stroop_EXR_1st_word_1st,25,m,2,1,16,RLX,word,incongruent,ROSSO,green,4,4,1,0.670119800022803
10,Stroop_EXR_1st_word_1st,25,m,2,1,17,RLX,word,congruent,ROSSO,red,4,4,1,0.436998199962545
10,Stroop_EXR_1st_word_1st,25,m,2,1,18,RLX,word,congruent,ROSSO,red,4,4,1,0.369231800024863
10,Stroop_EXR_1st_word_1st,25,m,2,1,19,RLX,word,incongruent,GIALLO,red,2,2,1,1.0641442000051
10,Stroop_EXR_1st_word_1st,25,m,2,1,20,RLX,word,incongruent,VERDE,red,3,3,1,0.841636399971321
10,Stroop_EXR_1st_word_1st,25,m,2,1,21,RLX,word,incongruent,GIALLO,red,2,2,1,0.571777600038331
10,Stroop_EXR_1st_word_1st,25,m,2,1,22,RLX,word,incongruent,GIALLO,red,2,2,1,0.658766700013075
10,Stroop_EXR_1st_word_1st,25,m,2,1,23,RLX,word,congruent,GIALLO,yellow,2,2,1,0.514079999993555
10,Stroop_EXR_1st_word_1st,25,m,2,2,0,RLX,word,congruent,GIALLO,yellow,2,2,1,1.09451479994459
10,Stroop_EXR_1st_word_1st,25,m,2,2,1,RLX,word,congruent,BLU,blue,1,1,1,0.951773000007961
10,Stroop_EXR_1st_word_1st,25,m,2,2,2,RLX,word,congruent,ROSSO,red,3,4,0,0.995409299968742
10,Stroop_EXR_1st_word_1st,25,m,2,2,3,RLX,word,incongruent,BLU,red,1,1,1,0.890241699991748
10,Stroop_EXR_1st_word_1st,25,m,2,2,4,RLX,word,congruent,GIALLO,yellow,2,2,1,0.544268300000113
10,Stroop_EXR_1st_word_1st,25,m,2,2,5,RLX,word,incongruent,BLU,red,1,1,1,0.676950699998997
10,Stroop_EXR_1st_word_1st,25,m,2,2,6,RLX,word,incongruent,VERDE,blue,3,3,1,0.851378799998201
10,Stroop_EXR_1st_word_1st,25,m,2,2,7,RLX,word,incongruent,GIALLO,red,2,2,1,0.685545500018634
10,Stroop_EXR_1st_word_1st,25,m,2,2,8,RLX,word,congruent,BLU,blue,1,1,1,0.603477099968586
10,Stroop_EXR_1st_word_1st,25,m,2,2,9,RLX,word,incongruent,ROSSO,blue,4,4,1,0.347952499985695
10,Stroop_EXR_1st_word_1st,25,m,2,2,10,RLX,word,congruent,ROSSO,red,4,4,1,0.383642400032841
10,Stroop_EXR_1st_word_1st,25,m,2,2,11,RLX,word,congruent,ROSSO,red,4,4,1,0.417857999971602
10,Stroop_EXR_1st_word_1st,25,m,2,2,12,RLX,word,incongruent,ROSSO,green,4,4,1,0.451632799988147
10,Stroop_EXR_1st_word_1st,25,m,2,2,13,RLX,word,congruent,GIALLO,yellow,2,2,1,0.809667700028513
10,Stroop_EXR_1st_word_1st,25,m,2,2,14,RLX,word,incongruent,ROSSO,green,4,4,1,0.563857700035442
10,Stroop_EXR_1st_word_1st,25,m,2,2,15,RLX,word,incongruent,BLU,red,1,1,1,0.52312259998871
10,Stroop_EXR_1st_word_1st,25,m,2,2,16,RLX,word,congruent,VERDE,green,3,3,1,0.417189500003587
10,Stroop_EXR_1st_word_1st,25,m,2,2,17,RLX,word,incongruent,BLU,red,1,1,1,0.52688819996547
10,Stroop_EXR_1st_word_1st,25,m,2,2,18,RLX,word,incongruent,VERDE,blue,3,3,1,0.435059599985834
10,Stroop_EXR_1st_word_1st,25,m,2,2,19,RLX,word,congruent,BLU,blue,1,1,1,0.825075200002175
10,Stroop_EXR_1st_word_1st,25,m,2,2,20,RLX,word,congruent,VERDE,green,3,3,1,0.786063199979253
10,Stroop_EXR_1st_word_1st,25,m,2,2,21,RLX,word,congruent,ROSSO,red,4,4,1,0.753584799997043
10,Stroop_EXR_1st_word_1st,25,m,2,2,22,RLX,word,incongruent,VERDE,blue,3,3,1,0.683721299981698
10,Stroop_EXR_1st_word_1st,25,m,2,2,23,RLX,word,incongruent,GIALLO,red,2,2,1,0.785377299995162
10,Stroop_EXR_1st_word_1st,25,m,2,3,0,RLX,color,incongruent,VERDE,red,3,4,0,1.79632010002388
10,Stroop_EXR_1st_word_1st,25,m,2,3,1,RLX,color,congruent,ROSSO,red,4,4,1,0.694501999998465
10,Stroop_EXR_1st_word_1st,25,m,2,3,2,RLX,color,congruent,GIALLO,yellow,2,2,1,1.06951180001488
10,Stroop_EXR_1st_word_1st,25,m,2,3,3,RLX,color,incongruent,GIALLO,red,2,4,0,0.711837400041986
10,Stroop_EXR_1st_word_1st,25,m,2,3,4,RLX,color,incongruent,ROSSO,green,3,3,1,1.0142605000292
10,Stroop_EXR_1st_word_1st,25,m,2,3,5,RLX,color,congruent,ROSSO,red,3,4,0,0.534965900005773
10,Stroop_EXR_1st_word_1st,25,m,2,3,6,RLX,color,congruent,BLU,blue,1,1,1,1.00692770001478
10,Stroop_EXR_1st_word_1st,25,m,2,3,7,RLX,color,incongruent,BLU,yellow,1,2,0,0.644271700002719
10,Stroop_EXR_1st_word_1st,25,m,2,3,8,RLX,color,congruent,BLU,blue,1,1,1,0.733123700018041
10,Stroop_EXR_1st_word_1st,25,m,2,3,9,RLX,color,incongruent,BLU,yellow,1,2,0,1.47209190001013
10,Stroop_EXR_1st_word_1st,25,m,2,3,10,RLX,color,incongruent,VERDE,red,4,4,1,1.59553500002949
