sub,run,score,type
2,1,5.54861111111111,Carico mentale del compito
2,1,6.09722222222222,Sforzo applicato
2,1,5.29166666666667,Prestazioni raggiunte
2,1,0.4375,Frustrazione percepita
2,1,2.88194444444444,Carico fisico del compito
2,1,7.86111111111111,Carico temporale del compito
2,2,5.06944444444444,Carico fisico del compito
2,2,7.47222222222222,Carico temporale del compito
2,2,6.04861111111111,Sforzo applicato
2,2,1.35416666666667,Frustrazione percepita
2,2,5.24305555555556,Carico mentale del compito
2,2,4.60416666666667,Prestazioni raggiunte
2,3,5.42361111111111,Sforzo applicato
2,3,6.68055555555556,Prestazioni raggiunte
2,3,5.92361111111111,Carico mentale del compito
2,3,3.00694444444444,Carico fisico del compito
2,3,0.0833333333333336,Frustrazione percepita
2,3,6.97222222222222,Carico temporale del compito
2,4,4.79861111111111,Prestazioni raggiunte
2,4,8.4375,Carico temporale del compito
2,4,7.77777777777778,Carico mentale del compito
2,4,1.60416666666667,Frustrazione percepita
2,4,1.38194444444444,Carico fisico del compito
2,4,6.5,Sforzo applicato
