participant,expName,age,gender,run,block,trialLoop_thisRepN,effort,task,congruency,word,color,pressed_key,correct_key,keyWord_corr,keyWord_rt
9,Stroop_RLX_1st_word_1st,26,f,1,1,0,RLX,word,congruent,ROSSO,red,4,4,1,1.84601420001127
9,Stroop_RLX_1st_word_1st,26,f,1,1,1,RLX,word,incongruent,VERDE,blue,1,3,0,0.830500499985646
9,Stroop_RLX_1st_word_1st,26,f,1,1,2,RLX,word,incongruent,VERDE,red,4,3,0,0.674484999966808
9,Stroop_RLX_1st_word_1st,26,f,1,1,3,RLX,word,incongruent,ROSSO,yellow,4,4,1,1.75306449999334
9,Stroop_RLX_1st_word_1st,26,f,1,1,4,RLX,word,congruent,GIALLO,yellow,2,2,1,0.853347599972039
9,Stroop_RLX_1st_word_1st,26,f,1,1,5,RLX,word,incongruent,VERDE,yellow,3,3,1,0.789993299986236
9,Stroop_RLX_1st_word_1st,26,f,1,1,6,RLX,word,congruent,BLU,blue,1,1,1,0.610646900022402
9,Stroop_RLX_1st_word_1st,26,f,1,1,7,RLX,word,congruent,VERDE,green,3,3,1,0.850897800002713
9,Stroop_RLX_1st_word_1st,26,f,1,1,8,RLX,word,congruent,ROSSO,red,4,4,1,0.663522599963471
9,Stroop_RLX_1st_word_1st,26,f,1,1,9,RLX,word,congruent,BLU,blue,1,1,1,1.18277339998167
9,Stroop_RLX_1st_word_1st,26,f,1,1,10,RLX,word,incongruent,VERDE,blue,3,3,1,1.70249490003334
9,Stroop_RLX_1st_word_1st,26,f,1,1,11,RLX,word,congruent,VERDE,green,3,3,1,0.626255100010894
9,Stroop_RLX_1st_word_1st,26,f,1,1,12,RLX,word,incongruent,ROSSO,green,4,4,1,1.63084870000603
9,Stroop_RLX_1st_word_1st,26,f,1,1,13,RLX,word,congruent,VERDE,green,3,3,1,0.881643100001384
9,Stroop_RLX_1st_word_1st,26,f,1,1,14,RLX,word,incongruent,VERDE,blue,3,3,1,0.659163300006185
9,Stroop_RLX_1st_word_1st,26,f,1,1,15,RLX,word,congruent,VERDE,green,3,3,1,0.359938099980354
9,Stroop_RLX_1st_word_1st,26,f,1,1,16,RLX,word,incongruent,BLU,green,1,1,1,1.30627780000214
9,Stroop_RLX_1st_word_1st,26,f,1,1,17,RLX,word,incongruent,BLU,green,1,1,1,0.772482299944386
9,Stroop_RLX_1st_word_1st,26,f,1,1,18,RLX,word,incongruent,VERDE,red,3,3,1,0.8334408000228
9,Stroop_RLX_1st_word_1st,26,f,1,1,19,RLX,word,incongruent,VERDE,blue,1,3,0,0.965127699950244
9,Stroop_RLX_1st_word_1st,26,f,1,1,20,RLX,word,congruent,GIALLO,yellow,2,2,1,0.528110199957155
9,Stroop_RLX_1st_word_1st,26,f,1,1,21,RLX,word,congruent,GIALLO,yellow,2,2,1,0.433562699996401
9,Stroop_RLX_1st_word_1st,26,f,1,1,22,RLX,word,incongruent,VERDE,blue,3,3,1,1.04996979999123
9,Stroop_RLX_1st_word_1st,26,f,1,1,23,RLX,word,congruent,GIALLO,yellow,2,2,1,0.59957109997049
9,Stroop_RLX_1st_word_1st,26,f,1,2,0,RLX,word,congruent,ROSSO,red,4,4,1,1.30016859999159
9,Stroop_RLX_1st_word_1st,26,f,1,2,1,RLX,word,incongruent,GIALLO,red,2,2,1,0.690990299975965
9,Stroop_RLX_1st_word_1st,26,f,1,2,2,RLX,word,incongruent,GIALLO,green,2,2,1,0.564713399973698
9,Stroop_RLX_1st_word_1st,26,f,1,2,3,RLX,word,incongruent,BLU,yellow,1,1,1,0.651520700019319
9,Stroop_RLX_1st_word_1st,26,f,1,2,4,RLX,word,congruent,VERDE,green,3,3,1,0.853325499978382
9,Stroop_RLX_1st_word_1st,26,f,1,2,5,RLX,word,incongruent,ROSSO,yellow,4,4,1,0.993450000009034
9,Stroop_RLX_1st_word_1st,26,f,1,2,6,RLX,word,congruent,ROSSO,red,4,4,1,0.512905600015074
9,Stroop_RLX_1st_word_1st,26,f,1,2,7,RLX,word,incongruent,BLU,yellow,1,1,1,0.905608300003223
9,Stroop_RLX_1st_word_1st,26,f,1,2,8,RLX,word,congruent,GIALLO,yellow,2,2,1,0.708116599998903
9,Stroop_RLX_1st_word_1st,26,f,1,2,9,RLX,word,incongruent,ROSSO,yellow,4,4,1,1.06710759998532
9,Stroop_RLX_1st_word_1st,26,f,1,2,10,RLX,word,incongruent,GIALLO,green,2,2,1,1.685335999995
9,Stroop_RLX_1st_word_1st,26,f,1,2,11,RLX,word,incongruent,GIALLO,green,2,2,1,0.588287799968384
9,Stroop_RLX_1st_word_1st,26,f,1,2,12,RLX,word,congruent,GIALLO,yellow,2,2,1,0.215306999976747
9,Stroop_RLX_1st_word_1st,26,f,1,2,13,RLX,word,incongruent,BLU,green,1,1,1,0.997020300012082
9,Stroop_RLX_1st_word_1st,26,f,1,2,14,RLX,word,congruent,VERDE,green,3,3,1,0.645061199960764
9,Stroop_RLX_1st_word_1st,26,f,1,2,15,RLX,word,congruent,BLU,blue,1,1,1,0.755225400032941
9,Stroop_RLX_1st_word_1st,26,f,1,2,16,RLX,word,congruent,BLU,blue,1,1,1,0.41300030000275
9,Stroop_RLX_1st_word_1st,26,f,1,2,17,RLX,word,congruent,BLU,blue,1,1,1,0.32560729997931
9,Stroop_RLX_1st_word_1st,26,f,1,2,18,RLX,word,congruent,GIALLO,yellow,2,2,1,0.936708599969279
9,Stroop_RLX_1st_word_1st,26,f,1,2,19,RLX,word,incongruent,GIALLO,red,2,2,1,1.63581620005425
9,Stroop_RLX_1st_word_1st,26,f,1,2,20,RLX,word,incongruent,VERDE,red,3,3,1,0.767910700000357
9,Stroop_RLX_1st_word_1st,26,f,1,2,21,RLX,word,congruent,VERDE,green,3,3,1,0.537905899982434
9,Stroop_RLX_1st_word_1st,26,f,1,2,22,RLX,word,incongruent,GIALLO,blue,2,2,1,0.582039000000805
9,Stroop_RLX_1st_word_1st,26,f,1,2,23,RLX,word,congruent,BLU,blue,1,1,1,0.948727500042878
9,Stroop_RLX_1st_word_1st,26,f,1,3,0,RLX,color,congruent,BLU,blue,1,1,1,0.798831200052518
9,Stroop_RLX_1st_word_1st,26,f,1,3,1,RLX,color,incongruent,VERDE,blue,1,1,1,0.945779500005301
9,Stroop_RLX_1st_word_1st,26,f,1,3,2,RLX,color,incongruent,BLU,yellow,2,2,1,1.54545859998325
9,Stroop_RLX_1st_word_1st,26,f,1,3,3,RLX,color,incongruent,GIALLO,red,4,4,1,1.32579480001004
9,Stroop_RLX_1st_word_1st,26,f,1,3,4,RLX,color,congruent,BLU,blue,1,1,1,0.563173400005326
9,Stroop_RLX_1st_word_1st,26,f,1,3,5,RLX,color,congruent,ROSSO,red,4,4,1,0.765370399982203
9,Stroop_RLX_1st_word_1st,26,f,1,3,6,RLX,color,congruent,VERDE,green,3,3,1,0.777208600018639
9,Stroop_RLX_1st_word_1st,26,f,1,3,7,RLX,color,incongruent,GIALLO,green,3,3,1,1.07699910004158
9,Stroop_RLX_1st_word_1st,26,f,1,3,8,RLX,color,incongruent,BLU,green,3,3,1,1.37134469999
9,Stroop_RLX_1st_word_1st,26,f,1,3,9,RLX,color,incongruent,ROSSO,green,3,3,1,0.418923200049903
9,Stroop_RLX_1st_word_1st,26,f,1,3,10,RLX,color,incongruent,ROSSO,yellow,2,2,1,0.73741079994943
9,Stroop_RLX_1st_word_1st,26,f,1,3,11,RLX,color,incongruent,BLU,green,3,3,1,0.435777500038967
9,Stroop_RLX_1st_word_1st,26,f,1,3,12,RLX,color,incongruent,VERDE,blue,1,1,1,1.14589509996586
9,Stroop_RLX_1st_word_1st,26,f,1,3,13,RLX,color,congruent,BLU,blue,1,1,1,0.55959860002622
9,Stroop_RLX_1st_word_1st,26,f,1,3,14,RLX,color,congruent,VERDE,green,3,3,1,1.61928009998519
9,Stroop_RLX_1st_word_1st,26,f,1,3,15,RLX,color,congruent,GIALLO,yellow,2,2,1,1.37882729998091
9,Stroop_RLX_1st_word_1st,26,f,1,3,16,RLX,color,congruent,ROSSO,red,4,4,1,1.15761330001988
9,Stroop_RLX_1st_word_1st,26,f,1,3,17,RLX,color,congruent,VERDE,green,3,3,1,0.92743059998611
9,Stroop_RLX_1st_word_1st,26,f,1,3,18,RLX,color,incongruent,BLU,green,3,3,1,0.559510799997952
9,Stroop_RLX_1st_word_1st,26,f,1,3,19,RLX,color,incongruent,ROSSO,blue,1,1,1,1.68770650000079
9,Stroop_RLX_1st_word_1st,26,f,1,3,20,RLX,color,incongruent,BLU,yellow,2,2,1,0.465964800037909
9,Stroop_RLX_1st_word_1st,26,f,1,3,21,RLX,color,congruent,VERDE,green,3,3,1,1.05541440000525
9,Stroop_RLX_1st_word_1st,26,f,1,3,22,RLX,color,congruent,BLU,blue,1,1,1,1.13950779999141
9,Stroop_RLX_1st_word_1st,26,f,1,3,23,RLX,color,congruent,VERDE,green,3,3,1,0.905893900024239
