sub,run,score,type
9,1,6.64583333333333,Prestazioni raggiunte
9,1,4.375,Sforzo applicato
9,1,0.159722222222222,Carico fisico del compito
9,1,3.23611111111111,Frustrazione percepita
9,1,5.74305555555556,Carico mentale del compito
9,1,4.21527777777778,Carico temporale del compito
9,2,2.69444444444444,Frustrazione percepita
9,2,8.04861111111111,Prestazioni raggiunte
9,2,8.81944444444444,Carico temporale del compito
9,2,9.25,Carico mentale del compito
9,2,0.0347222222222221,Carico fisico del compito
9,2,6.875,Sforzo applicato
9,3,2.97916666666667,Sforzo applicato
9,3,0.0763888888888886,Carico fisico del compito
9,3,5.96527777777778,Prestazioni raggiunte
9,3,4.59027777777778,Carico temporale del compito
9,3,1.22222222222222,Frustrazione percepita
9,3,5.88888888888889,Carico mentale del compito
9,4,1.99305555555556,Frustrazione percepita
9,4,7.54166666666667,Carico temporale del compito
9,4,6.81944444444444,Sforzo applicato
9,4,9.17361111111111,Prestazioni raggiunte
9,4,0.0555555555555554,Carico fisico del compito
9,4,8.04861111111111,Carico mentale del compito
