participant,expName,age,gender,run,block,trialLoop_thisRepN,effort,task,congruency,word,color,pressed_key,correct_key,keyWord_corr,keyWord_rt
16,Stroop_RLX_1st_color_1st,18,m,1,1,0,RLX,color,congruent,GIALLO,yellow,2,2,1,0.921166700078174
16,Stroop_RLX_1st_color_1st,18,m,1,1,1,RLX,color,incongruent,GIALLO,red,4,4,1,0.642748300102539
16,Stroop_RLX_1st_color_1st,18,m,1,1,2,RLX,color,incongruent,ROSSO,yellow,2,2,1,0.579042199999094
16,Stroop_RLX_1st_color_1st,18,m,1,1,3,RLX,color,congruent,GIALLO,yellow,2,2,1,0.551383799989708
16,Stroop_RLX_1st_color_1st,18,m,1,1,4,RLX,color,congruent,VERDE,green,3,3,1,0.396982900099829
16,Stroop_RLX_1st_color_1st,18,m,1,1,5,RLX,color,congruent,ROSSO,red,4,4,1,0.542547499993816
16,Stroop_RLX_1st_color_1st,18,m,1,1,6,RLX,color,congruent,VERDE,green,3,3,1,0.615432900027372
16,Stroop_RLX_1st_color_1st,18,m,1,1,7,RLX,color,incongruent,BLU,red,4,4,1,0.563773900037631
16,Stroop_RLX_1st_color_1st,18,m,1,1,8,RLX,color,congruent,GIALLO,yellow,2,2,1,0.684678499936126
16,Stroop_RLX_1st_color_1st,18,m,1,1,9,RLX,color,incongruent,BLU,red,4,4,1,0.984190299990587
16,Stroop_RLX_1st_color_1st,18,m,1,1,10,RLX,color,incongruent,VERDE,red,4,4,1,0.70199179998599
16,Stroop_RLX_1st_color_1st,18,m,1,1,11,RLX,color,incongruent,GIALLO,green,3,3,1,0.629758899915032
16,Stroop_RLX_1st_color_1st,18,m,1,1,12,RLX,color,incongruent,GIALLO,green,3,3,1,0.490231800009497
16,Stroop_RLX_1st_color_1st,18,m,1,1,13,RLX,color,congruent,VERDE,green,3,3,1,0.617103600059636
16,Stroop_RLX_1st_color_1st,18,m,1,1,14,RLX,color,incongruent,VERDE,red,4,4,1,0.651298099895939
16,Stroop_RLX_1st_color_1st,18,m,1,1,15,RLX,color,congruent,BLU,blue,1,1,1,0.477659599971958
16,Stroop_RLX_1st_color_1st,18,m,1,1,16,RLX,color,congruent,BLU,blue,1,1,1,0.38790740002878
16,Stroop_RLX_1st_color_1st,18,m,1,1,17,RLX,color,incongruent,ROSSO,green,3,3,1,0.751660699956119
16,Stroop_RLX_1st_color_1st,18,m,1,1,18,RLX,color,congruent,VERDE,green,3,3,1,0.44473280000966
16,Stroop_RLX_1st_color_1st,18,m,1,1,19,RLX,color,incongruent,BLU,red,4,4,1,0.647724199923687
16,Stroop_RLX_1st_color_1st,18,m,1,1,20,RLX,color,congruent,BLU,blue,1,1,1,0.526701399940066
16,Stroop_RLX_1st_color_1st,18,m,1,1,21,RLX,color,congruent,VERDE,green,3,3,1,0.776442800066434
16,Stroop_RLX_1st_color_1st,18,m,1,1,22,RLX,color,incongruent,VERDE,blue,3,1,0,0.650810000021011
16,Stroop_RLX_1st_color_1st,18,m,1,1,23,RLX,color,incongruent,ROSSO,yellow,2,2,1,0.794471399975009
16,Stroop_RLX_1st_color_1st,18,m,1,2,0,RLX,color,congruent,BLU,blue,1,1,1,0.566875099902973
16,Stroop_RLX_1st_color_1st,18,m,1,2,1,RLX,color,congruent,VERDE,green,3,3,1,0.597590700024739
16,Stroop_RLX_1st_color_1st,18,m,1,2,2,RLX,color,incongruent,VERDE,red,4,4,1,1.41386369999964
16,Stroop_RLX_1st_color_1st,18,m,1,2,3,RLX,color,congruent,BLU,blue,1,1,1,0.727907199994661
16,Stroop_RLX_1st_color_1st,18,m,1,2,4,RLX,color,incongruent,BLU,yellow,2,2,1,1.05432440002915
16,Stroop_RLX_1st_color_1st,18,m,1,2,5,RLX,color,congruent,BLU,blue,3,1,0,0.630745500093326
16,Stroop_RLX_1st_color_1st,18,m,1,2,6,RLX,color,congruent,GIALLO,yellow,2,2,1,1.39158449997194
16,Stroop_RLX_1st_color_1st,18,m,1,2,7,RLX,color,congruent,VERDE,green,3,3,1,0.851316199987195
16,Stroop_RLX_1st_color_1st,18,m,1,2,8,RLX,color,congruent,VERDE,green,3,3,1,0.585182100068778
16,Stroop_RLX_1st_color_1st,18,m,1,2,9,RLX,color,congruent,ROSSO,red,4,4,1,0.785191499977373
16,Stroop_RLX_1st_color_1st,18,m,1,2,10,RLX,color,incongruent,BLU,green,3,3,1,0.654680199921131
16,Stroop_RLX_1st_color_1st,18,m,1,2,11,RLX,color,incongruent,GIALLO,red,4,4,1,0.681993999984115
