sub,run,score,type
16,1,0.4375,Carico mentale del compito
16,1,0.715277777777778,Frustrazione percepita
16,1,2.55555555555556,Carico temporale del compito
16,1,2.33333333333333,Sforzo applicato
16,1,8.75,Prestazioni raggiunte
16,1,0.229166666666666,Carico fisico del compito
16,2,5.16666666666667,Sforzo applicato
16,2,2.17361111111111,Frustrazione percepita
16,2,0.847222222222222,Carico fisico del compito
16,2,7.08333333333333,Prestazioni raggiunte
16,2,5.04166666666667,Carico mentale del compito
16,2,3.47916666666667,Carico temporale del compito
16,3,1.49305555555556,Sforzo applicato
16,3,0.930555555555556,Frustrazione percepita
16,3,2.48611111111111,Carico mentale del compito
16,3,2.6875,Carico temporale del compito
16,3,0.673611111111111,Carico fisico del compito
16,3,7.47916666666667,Prestazioni raggiunte
16,4,3.375,Sforzo applicato
16,4,1.84027777777778,Frustrazione percepita
16,4,3.53472222222222,Carico temporale del compito
16,4,0.861111111111111,Carico fisico del compito
16,4,3.72222222222222,Carico mentale del compito
16,4,7.67361111111111,Prestazioni raggiunte
