sub,run,score,type
5,1,6.38888888888889,Prestazioni raggiunte
5,1,7.34027777777778,Sforzo applicato
5,1,1.25,Carico fisico del compito
5,1,5.28472222222222,Frustrazione percepita
5,1,8.02777777777778,Carico temporale del compito
5,1,9.48611111111111,Carico mentale del compito
5,2,5.18055555555556,Carico temporale del compito
5,2,7.79166666666667,Frustrazione percepita
5,2,6.875,Sforzo applicato
5,2,5.20833333333333,Prestazioni raggiunte
5,2,0.986111111111111,Carico fisico del compito
5,2,9.24305555555556,Carico mentale del compito
5,3,2.55555555555556,Carico fisico del compito
5,3,8.58333333333333,Frustrazione percepita
5,3,6.73611111111111,Prestazioni raggiunte
5,3,9.38194444444444,Sforzo applicato
5,3,9.14583333333333,Carico temporale del compito
5,3,9.72916666666667,Carico mentale del compito
5,4,7.04861111111111,Carico mentale del compito
5,4,2.25,Carico temporale del compito
5,4,4.73611111111111,Frustrazione percepita
5,4,0.888888888888889,Carico fisico del compito
5,4,5.27777777777778,Prestazioni raggiunte
5,4,4.18055555555556,Sforzo applicato
