sub,run,score,type
13,1,5.69444444444444,Carico temporale del compito
13,1,4.45138888888889,Carico fisico del compito
13,1,7.67361111111111,Carico mentale del compito
13,1,5.17361111111111,Sforzo applicato
13,1,4.27083333333333,Prestazioni raggiunte
13,1,6.72222222222222,Frustrazione percepita
13,2,7.07638888888889,Carico mentale del compito
13,2,8.06944444444444,Frustrazione percepita
13,2,9.33333333333333,Sforzo applicato
13,2,2.38888888888889,Prestazioni raggiunte
13,2,8.88888888888889,Carico fisico del compito
13,2,9.25694444444444,Carico temporale del compito
13,3,4.17361111111111,Sforzo applicato
13,3,3.77777777777778,Carico fisico del compito
13,3,5.38194444444444,Carico mentale del compito
13,3,5.98611111111111,Carico temporale del compito
13,3,3.81944444444444,Frustrazione percepita
13,3,3.9375,Prestazioni raggiunte
13,4,3.3125,Prestazioni raggiunte
13,4,6.375,Frustrazione percepita
13,4,7.66666666666667,Sforzo applicato
13,4,7.20833333333333,Carico temporale del compito
13,4,6.58333333333333,Carico mentale del compito
13,4,3.90277777777778,Carico fisico del compito
